,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Profit
1,frozenset({'878635'}),frozenset({'888635'}),0.082905983,0.088034188,0.068803419,0.829896907,9.426984286,0.061504858,5.361253561,4.18
2,frozenset({'888635'}),frozenset({'878635'}),0.088034188,0.082905983,0.068803419,0.781553398,9.426984286,0.061504858,4.198252612,5.44
3,frozenset({'828635'}),"frozenset({'768635', '748635'})",0.116666667,0.069230769,0.061538462,0.527472527,7.619047619,0.053461538,1.969767442,11.5
4,"frozenset({'768635', '748635'})",frozenset({'828635'}),0.069230769,0.116666667,0.061538462,0.888888889,7.619047619,0.053461538,7.95,4.18
5,frozenset({'768635'}),"frozenset({'828635', '748635'})",0.113675214,0.074786325,0.061538462,0.541353383,7.238668099,0.05303711,2.017269161,10.24
6,"frozenset({'828635', '748635'})",frozenset({'768635'}),0.074786325,0.113675214,0.061538462,0.822857143,7.238668099,0.05303711,5.003446374,5.44
7,"frozenset({'828635', '768635'})",frozenset({'748635'}),0.09017094,0.099145299,0.061538462,0.682464455,6.883477692,0.052598437,2.837020028,6.06
8,frozenset({'748635'}),"frozenset({'828635', '768635'})",0.099145299,0.09017094,0.061538462,0.620689655,6.883477692,0.052598437,2.398640249,9.62
9,frozenset({'768635'}),frozenset({'828635'}),0.113675214,0.116666667,0.09017094,0.793233083,6.799140709,0.076908832,4.272121212,4.18
10,frozenset({'828635'}),frozenset({'768635'}),0.116666667,0.113675214,0.09017094,0.772893773,6.799140709,0.076908832,3.902688172,5.44
11,frozenset({'748635'}),frozenset({'828635'}),0.099145299,0.116666667,0.074786325,0.754310345,6.465517241,0.063219373,3.595321637,4.18
12,frozenset({'828635'}),frozenset({'748635'}),0.116666667,0.099145299,0.074786325,0.641025641,6.465517241,0.063219373,2.50952381,6.06
13,frozenset({'748635'}),frozenset({'768635'}),0.099145299,0.113675214,0.069230769,0.698275862,6.142727508,0.057960406,2.937533578,5.44
14,frozenset({'768635'}),frozenset({'748635'}),0.113675214,0.099145299,0.069230769,0.609022556,6.142727508,0.057960406,2.304109139,6.06
15,frozenset({'1117865'}),frozenset({'277865'}),0.131623932,0.114957265,0.067094017,0.50974026,4.434171776,0.05196289,1.805252731,0
16,frozenset({'277865'}),frozenset({'1117865'}),0.114957265,0.131623932,0.067094017,0.583643123,4.434171776,0.05196289,2.085653236,22.5
17,frozenset({'617865'}),frozenset({'1117865'}),0.113675214,0.131623932,0.066239316,0.582706767,4.427057905,0.051276938,2.080973281,22.5
18,frozenset({'1117865'}),frozenset({'617865'}),0.131623932,0.113675214,0.066239316,0.503246753,4.427057905,0.051276938,1.784235518,25
19,frozenset({'617865'}),frozenset({'570033'}),0.113675214,0.164529915,0.061538462,0.541353383,3.290303681,0.042835488,1.821598711,10
20,frozenset({'570033'}),frozenset({'617865'}),0.164529915,0.113675214,0.061538462,0.374025974,3.290303681,0.042835488,1.41591304,25
21,frozenset({'1976522'}),frozenset({'570033'}),0.116239316,0.164529915,0.062393162,0.536764706,3.262414057,0.043268318,1.80355447,10
22,frozenset({'570033'}),frozenset({'1976522'}),0.164529915,0.116239316,0.062393162,0.379220779,3.262414057,0.043268318,1.423631227,45.75
23,frozenset({'243947'}),frozenset({'1117865'}),0.147863248,0.131623932,0.062393162,0.421965318,3.205840402,0.04293082,1.502290598,22.5
24,frozenset({'1117865'}),frozenset({'243947'}),0.131623932,0.147863248,0.062393162,0.474025974,3.205840402,0.04293082,1.62011185,0
25,frozenset({'570033'}),frozenset({'1443299'}),0.164529915,0.118376068,0.061965812,0.376623377,3.181583759,0.042489408,1.414271724,46.3
26,frozenset({'1443299'}),frozenset({'570033'}),0.118376068,0.164529915,0.061965812,0.523465704,3.181583759,0.042489408,1.753221316,10
27,frozenset({'1117865'}),frozenset({'570033'}),0.131623932,0.164529915,0.067521368,0.512987013,3.117895092,0.045865293,1.715498575,10
28,frozenset({'570033'}),frozenset({'1117865'}),0.164529915,0.131623932,0.067521368,0.41038961,3.117895092,0.045865293,1.472796416,22.5
29,frozenset({'977309'}),frozenset({'570033'}),0.143589744,0.164529915,0.071367521,0.49702381,3.020871985,0.047742713,1.661052951,10
30,frozenset({'570033'}),frozenset({'977309'}),0.164529915,0.143589744,0.071367521,0.433766234,3.020871985,0.047742713,1.512467655,19
31,frozenset({'133101'}),frozenset({'570033'}),0.126923077,0.164529915,0.062820513,0.494949495,3.008264463,0.04193787,1.654230769,10
32,frozenset({'570033'}),frozenset({'133101'}),0.164529915,0.126923077,0.062820513,0.381818182,3.008264463,0.04193787,1.412330317,25
33,frozenset({'243947'}),frozenset({'977309'}),0.147863248,0.143589744,0.062820513,0.424855491,2.958815029,0.041588867,1.489034918,19
34,frozenset({'977309'}),frozenset({'243947'}),0.143589744,0.147863248,0.062820513,0.4375,2.958815029,0.041588867,1.514909782,0
35,frozenset({'243947'}),frozenset({'570033'}),0.147863248,0.164529915,0.070940171,0.479768786,2.915997298,0.046612243,1.605959164,10
36,frozenset({'570033'}),frozenset({'243947'}),0.164529915,0.147863248,0.070940171,0.431168831,2.915997298,0.046612243,1.498048628,0
