,Unnamed: 0,antecedents,consequents,support,confidence,lift,Profit,ant_dept,con_dept,Excepted profit
0,1,frozenset({'878635'}),frozenset({'888635'}),0.068803419,0.829896907,9.426984286,4.18,6107,6107,3.468969071
1,2,frozenset({'888635'}),frozenset({'878635'}),0.068803419,0.781553398,9.426984286,5.44,6107,6107,4.251650485
2,3,frozenset({'828635'}),"frozenset({'768635', '748635'})",0.061538462,0.527472527,7.619047619,11.5,6107,6107,6.065934061
3,4,"frozenset({'768635', '748635'})",frozenset({'828635'}),0.061538462,0.888888889,7.619047619,4.18,6107,6107,3.715555556
4,5,frozenset({'768635'}),"frozenset({'828635', '748635'})",0.061538462,0.541353383,7.238668099,10.24,6107,6107,5.543458642
5,6,"frozenset({'828635', '748635'})",frozenset({'768635'}),0.061538462,0.822857143,7.238668099,5.44,6107,6107,4.476342858
6,7,"frozenset({'828635', '768635'})",frozenset({'748635'}),0.061538462,0.682464455,6.883477692,6.06,6107,6107,4.135734597
7,8,frozenset({'748635'}),"frozenset({'828635', '768635'})",0.061538462,0.620689655,6.883477692,9.62,6107,6107,5.971034481
8,9,frozenset({'768635'}),frozenset({'828635'}),0.09017094,0.793233083,6.799140709,4.18,6107,6107,3.315714287
9,10,frozenset({'828635'}),frozenset({'768635'}),0.09017094,0.772893773,6.799140709,5.44,6107,6107,4.204542125
10,11,frozenset({'748635'}),frozenset({'828635'}),0.074786325,0.754310345,6.465517241,4.18,6107,6107,3.153017242
11,12,frozenset({'828635'}),frozenset({'748635'}),0.074786325,0.641025641,6.465517241,6.06,6107,6107,3.884615384
12,13,frozenset({'748635'}),frozenset({'768635'}),0.069230769,0.698275862,6.142727508,5.44,6107,6107,3.798620689
13,14,frozenset({'768635'}),frozenset({'748635'}),0.069230769,0.609022556,6.142727508,6.06,6107,6107,3.690676689
14,15,frozenset({'1117865'}),frozenset({'277865'}),0.067094017,0.50974026,4.434171776,NULL,1107,1107,NULL
15,16,frozenset({'277865'}),frozenset({'1117865'}),0.067094017,0.583643123,4.434171776,22.5,1107,1107,13.13197027
16,17,frozenset({'617865'}),frozenset({'1117865'}),0.066239316,0.582706767,4.427057905,22.5,1107,1107,13.11090226
17,18,frozenset({'1117865'}),frozenset({'617865'}),0.066239316,0.503246753,4.427057905,25,1107,1107,12.58116882
18,19,frozenset({'617865'}),frozenset({'570033'}),0.061538462,0.541353383,3.290303681,10,1107,1107,5.41353383
19,20,frozenset({'570033'}),frozenset({'617865'}),0.061538462,0.374025974,3.290303681,25,1107,1107,9.35064935
20,21,frozenset({'1976522'}),frozenset({'570033'}),0.062393162,0.536764706,3.262414057,10,1107,1107,5.36764706
21,22,frozenset({'570033'}),frozenset({'1976522'}),0.062393162,0.379220779,3.262414057,45.75,1107,1107,17.34935064
22,23,frozenset({'243947'}),frozenset({'1117865'}),0.062393162,0.421965318,3.205840402,22.5,3107,1107,9.494219655
23,24,frozenset({'1117865'}),frozenset({'243947'}),0.062393162,0.474025974,3.205840402,NULL,1107,3107,NULL
24,25,frozenset({'570033'}),frozenset({'1443299'}),0.061965812,0.376623377,3.181583759,46.3,1107,1107,17.43766236
25,26,frozenset({'1443299'}),frozenset({'570033'}),0.061965812,0.523465704,3.181583759,10,1107,1107,5.23465704
26,27,frozenset({'1117865'}),frozenset({'570033'}),0.067521368,0.512987013,3.117895092,10,1107,1107,5.12987013
27,28,frozenset({'570033'}),frozenset({'1117865'}),0.067521368,0.41038961,3.117895092,22.5,1107,1107,9.233766225
28,29,frozenset({'977309'}),frozenset({'570033'}),0.071367521,0.49702381,3.020871985,10,1107,1107,4.9702381
29,30,frozenset({'570033'}),frozenset({'977309'}),0.071367521,0.433766234,3.020871985,19,1107,1107,8.241558446
30,31,frozenset({'133101'}),frozenset({'570033'}),0.062820513,0.494949495,3.008264463,10,1107,1107,4.94949495
31,32,frozenset({'570033'}),frozenset({'133101'}),0.062820513,0.381818182,3.008264463,25,1107,1107,9.54545455
32,33,frozenset({'243947'}),frozenset({'977309'}),0.062820513,0.424855491,2.958815029,19,3107,1107,8.072254329
33,34,frozenset({'977309'}),frozenset({'243947'}),0.062820513,0.4375,2.958815029,NULL,1107,3107,NULL
34,35,frozenset({'243947'}),frozenset({'570033'}),0.070940171,0.479768786,2.915997298,10,3107,1107,4.79768786
35,36,frozenset({'570033'}),frozenset({'243947'}),0.070940171,0.431168831,2.915997298,NULL,1107,3107,NULL
